itration,accuracy
1,0.7662012173290368
2,0.8886501969208735
3,0.9129967776584319
4,0.9197994987468672
5,0.900107411385607
6,0.9197994987468672
7,0.8209810239885428
8,0.9119226638023631
9,0.9036877909058361
10,0.9194414607948441
