itration,accuracy
0,0.8091657715717866
1,0.9194414607948443
2,0.9226638023630503
3,0.9226638023630503
4,0.920515574650913
5,0.9226638023630503
6,0.9087003222341569
7,0.9151450053705693
8,0.9226638023630503
9,0.9237379162191193
