itration,accuracy
0,0.9567898735543754
1,0.9536725908532727
2,0.8900314427216177
3,0.879033237520748
4,0.8462545376030642
5,0.8417203082196396
6,0.8177131830020372
7,0.8976154811546074
8,0.8479413788915435
9,0.823111075125164
