itration,accuracy
0,0.9581123571245429
1,0.9438214377285667
2,0.9484636249544552
3,0.9544282957505097
4,0.9595697879977869
5,0.9664925846456958
6,0.9513919814312513
7,0.4906279098012226
8,0.9521341915981807
9,0.940542218263768
